2026-04-12 20:21:30 - ============================================================
2026-04-12 20:21:30 - [*] 实验: ContextGraph + GATv2 + 静态 Compatibility 建模 + Set Decoder
2026-04-12 20:21:30 - [*] 数据集: christianity
2026-04-12 20:21:30 - [*] 设备: cuda
2026-04-12 20:21:30 - [*] Recall@K: (5, 15, 25)
2026-04-12 20:21:30 - [*] Eval Scope: maxcc
2026-04-12 20:21:30 - [*] Warmup Epochs: 100
2026-04-12 20:21:30 - ============================================================
2026-04-12 20:22:15 - [*] 样本构建完成: kept=546, skipped_empty=0, skipped_no_source_in_maxcc=4
2026-04-12 20:22:15 - [*] 数据划分: train=382, val=82, test=82
2026-04-12 20:22:15 - [*] 预计算 AED 懒加载最短路查询器...
2026-04-12 20:25:50 - Epoch 028 | loss=0.2648 | val_score=0.6582 | f1=0.5153 | map=0.5946 | p@k=0.4938 | aed=1.0027 | count_mae=1.4268
2026-04-12 20:25:57 - Epoch 029 | loss=0.2690 | val_score=0.6881 | f1=0.5374 | map=0.6213 | p@k=0.5365 | aed=0.9274 | count_mae=1.5732
2026-04-12 20:26:08 - Epoch 030 | loss=0.2680 | val_score=0.6734 | f1=0.5263 | map=0.6045 | p@k=0.5068 | aed=0.9931 | count_mae=1.3415
2026-04-12 20:26:17 - Epoch 031 | loss=0.2689 | val_score=0.6578 | f1=0.5010 | map=0.5986 | p@k=0.4935 | aed=0.9860 | count_mae=1.3902
2026-04-12 20:26:24 - Epoch 032 | loss=0.2667 | val_score=0.6734 | f1=0.5304 | map=0.6136 | p@k=0.5058 | aed=0.9796 | count_mae=1.5976
2026-04-12 20:26:32 - Epoch 033 | loss=0.2670 | val_score=0.6582 | f1=0.5055 | map=0.6008 | p@k=0.4911 | aed=1.0040 | count_mae=1.3537
2026-04-12 20:26:38 - Epoch 034 | loss=0.2684 | val_score=0.6468 | f1=0.5024 | map=0.5883 | p@k=0.4908 | aed=1.0484 | count_mae=1.7195
2026-04-12 20:26:46 - Epoch 035 | loss=0.2699 | val_score=0.6764 | f1=0.5285 | map=0.6149 | p@k=0.5028 | aed=0.9678 | count_mae=1.3537
2026-04-12 20:26:53 - Epoch 036 | loss=0.2625 | val_score=0.6711 | f1=0.5250 | map=0.6088 | p@k=0.5007 | aed=1.0392 | count_mae=1.5000
2026-04-12 20:27:00 - Epoch 037 | loss=0.2681 | val_score=0.6799 | f1=0.5213 | map=0.6199 | p@k=0.5110 | aed=0.9601 | count_mae=1.4634
2026-04-12 20:27:11 - Epoch 038 | loss=0.2624 | val_score=0.6577 | f1=0.5062 | map=0.6022 | p@k=0.4969 | aed=1.0060 | count_mae=1.5732
